mode,package_id,category,outcome_disagreement,preflight_disagreement,artifact_manifest_disagreement,artifact_hash_disagreement,both_success,artifact_hash_agreement,runner_a_status,runner_a_error_code,runner_a_exit_code,runner_a_artifact_path,runner_a_artifact_byte_count,runner_a_artifact_sha256,runner_b_status,runner_b_error_code,runner_b_exit_code,runner_b_artifact_path,runner_b_artifact_byte_count,runner_b_artifact_sha256,runner_a_outcome,runner_b_outcome
ambiguous,wd01,wd,True,True,False,False,False,False,SUCCESS,,0,package/results/artifact.json,197,338f1a6ca0dd75e859099706af62b8d6e8550eb49ccbaa04b3b6199650e2fd52,PREFLIGHT_ERROR,MISSING_INPUT,,,,,"{""artifact_manifest"":[{""byte_count"":197,""path"":""package/results/artifact.json"",""sha256"":""338f1a6ca0dd75e859099706af62b8d6e8550eb49ccbaa04b3b6199650e2fd52""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}","{""artifact_manifest"":[],""error_code"":""MISSING_INPUT"",""exit_code"":null,""status"":""PREFLIGHT_ERROR""}"
ambiguous,wd02,wd,True,True,False,False,False,False,SUCCESS,,0,package/results/artifact.json,196,c6deec860eeb0c10f5d883236dd0ae5a03f9351fe9cb00aff0e6d5931ad9145f,PREFLIGHT_ERROR,MISSING_INPUT,,,,,"{""artifact_manifest"":[{""byte_count"":196,""path"":""package/results/artifact.json"",""sha256"":""c6deec860eeb0c10f5d883236dd0ae5a03f9351fe9cb00aff0e6d5931ad9145f""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}","{""artifact_manifest"":[],""error_code"":""MISSING_INPUT"",""exit_code"":null,""status"":""PREFLIGHT_ERROR""}"
ambiguous,wd03,wd,True,True,False,False,False,False,SUCCESS,,0,package/results/artifact.json,194,b29f4fe4dac1a0b7111b9f54d9f58997c05cc660c66a26f1a24aef7af27c9b80,PREFLIGHT_ERROR,MISSING_INPUT,,,,,"{""artifact_manifest"":[{""byte_count"":194,""path"":""package/results/artifact.json"",""sha256"":""b29f4fe4dac1a0b7111b9f54d9f58997c05cc660c66a26f1a24aef7af27c9b80""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}","{""artifact_manifest"":[],""error_code"":""MISSING_INPUT"",""exit_code"":null,""status"":""PREFLIGHT_ERROR""}"
ambiguous,wd04,wd,True,True,False,False,False,False,SUCCESS,,0,package/results/artifact.json,195,b988c6df2cbd2256304f90e723d1239080172872fd8afcadc846b0ef130f76f3,PREFLIGHT_ERROR,MISSING_INPUT,,,,,"{""artifact_manifest"":[{""byte_count"":195,""path"":""package/results/artifact.json"",""sha256"":""b988c6df2cbd2256304f90e723d1239080172872fd8afcadc846b0ef130f76f3""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}","{""artifact_manifest"":[],""error_code"":""MISSING_INPUT"",""exit_code"":null,""status"":""PREFLIGHT_ERROR""}"
ambiguous,wd05,wd,True,False,True,True,True,False,SUCCESS,,0,package/results/artifact.json,197,ab759f1dfae9286a7dca9ea999c4e479c6c1309e21d577d913d1656d2e28025b,SUCCESS,,0,results/artifact.json,201,19c216bb821a4571eac7b219e845257438cd01e69ea2b31859483ef0d41f6adf,"{""artifact_manifest"":[{""byte_count"":197,""path"":""package/results/artifact.json"",""sha256"":""ab759f1dfae9286a7dca9ea999c4e479c6c1309e21d577d913d1656d2e28025b""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}","{""artifact_manifest"":[{""byte_count"":201,""path"":""results/artifact.json"",""sha256"":""19c216bb821a4571eac7b219e845257438cd01e69ea2b31859483ef0d41f6adf""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}"
ambiguous,wd06,wd,True,False,True,True,True,False,SUCCESS,,0,package/results/artifact.json,196,8bc4d54d749d9520b221aefe3169c22eb9c47791a08fe20f98c07ba803a62bfe,SUCCESS,,0,results/artifact.json,201,aede0d21dc934b04ad905b4691ae07c31375e8985d8359c22266aed5c3ff27af,"{""artifact_manifest"":[{""byte_count"":196,""path"":""package/results/artifact.json"",""sha256"":""8bc4d54d749d9520b221aefe3169c22eb9c47791a08fe20f98c07ba803a62bfe""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}","{""artifact_manifest"":[{""byte_count"":201,""path"":""results/artifact.json"",""sha256"":""aede0d21dc934b04ad905b4691ae07c31375e8985d8359c22266aed5c3ff27af""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}"
ambiguous,wd07,wd,True,False,True,True,True,False,SUCCESS,,0,package/results/artifact.json,195,14f25df11e79d4394b9ce94b9340d37d140a4be148791423781a091c207c7499,SUCCESS,,0,results/artifact.json,201,2bd0520b7f92df2d47e2a6f7b293460002eeba4f448dceee29060ab28568af39,"{""artifact_manifest"":[{""byte_count"":195,""path"":""package/results/artifact.json"",""sha256"":""14f25df11e79d4394b9ce94b9340d37d140a4be148791423781a091c207c7499""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}","{""artifact_manifest"":[{""byte_count"":201,""path"":""results/artifact.json"",""sha256"":""2bd0520b7f92df2d47e2a6f7b293460002eeba4f448dceee29060ab28568af39""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}"
ambiguous,wd08,wd,True,False,True,True,True,False,SUCCESS,,0,package/results/artifact.json,197,639715e12d92ea9f67eef7a31442bd0c12a48e45f2edac613da5690d865187bf,SUCCESS,,0,results/artifact.json,201,19cd84f7d40c7e3c96dc94fe9462d624d78df8a60b031140c4080b1f3d662b7b,"{""artifact_manifest"":[{""byte_count"":197,""path"":""package/results/artifact.json"",""sha256"":""639715e12d92ea9f67eef7a31442bd0c12a48e45f2edac613da5690d865187bf""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}","{""artifact_manifest"":[{""byte_count"":201,""path"":""results/artifact.json"",""sha256"":""19cd84f7d40c7e3c96dc94fe9462d624d78df8a60b031140c4080b1f3d662b7b""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}"
ambiguous,input01,input,True,False,True,True,True,False,SUCCESS,,0,outputs/artifact.json,198,187b0ec2e4fb35d075f6be674712408d612ab01cbff01277bb61e1fb417a7dd7,SUCCESS,,0,outputs/artifact.json,204,6de833c99dc7571aad61198956e1616c771f1374e81c7fe546398f07bde7daa2,"{""artifact_manifest"":[{""byte_count"":198,""path"":""outputs/artifact.json"",""sha256"":""187b0ec2e4fb35d075f6be674712408d612ab01cbff01277bb61e1fb417a7dd7""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}","{""artifact_manifest"":[{""byte_count"":204,""path"":""outputs/artifact.json"",""sha256"":""6de833c99dc7571aad61198956e1616c771f1374e81c7fe546398f07bde7daa2""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}"
ambiguous,input02,input,True,False,True,True,True,False,SUCCESS,,0,outputs/artifact.json,200,1e4a32a6e6e4260a740f9c750c54c663ed57d13fda4a8caf6d6f838ddaa655ca,SUCCESS,,0,outputs/artifact.json,204,9baaafb89b9c0ea6556f53cee62f891e4ce2e5c2658ff216677bec9634835596,"{""artifact_manifest"":[{""byte_count"":200,""path"":""outputs/artifact.json"",""sha256"":""1e4a32a6e6e4260a740f9c750c54c663ed57d13fda4a8caf6d6f838ddaa655ca""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}","{""artifact_manifest"":[{""byte_count"":204,""path"":""outputs/artifact.json"",""sha256"":""9baaafb89b9c0ea6556f53cee62f891e4ce2e5c2658ff216677bec9634835596""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}"
