seed_id,prospective_split,M_ref,G_ref,reference_grok_status,reference_observed_grok_time,reference_restricted_time,broad_rule_eligible,broad_rule_earliest_checkpoint,R01_eligible,R01_earliest_checkpoint,R02_eligible,R02_earliest_checkpoint,R03_eligible,R03_earliest_checkpoint,R04_eligible,R04_earliest_checkpoint,R05_eligible,R05_earliest_checkpoint,R06_eligible,R06_earliest_checkpoint,R07_eligible,R07_earliest_checkpoint,R08_eligible,R08_earliest_checkpoint,R09_eligible,R09_earliest_checkpoint,R10_eligible,R10_earliest_checkpoint,R11_eligible,R11_earliest_checkpoint,R12_eligible,R12_earliest_checkpoint
0,selection,509.48778558449953,1212.1323683571186,GROKKED,1700,1700,TRUE,700,TRUE,800,TRUE,800,FALSE,NA,FALSE,NA,TRUE,800,TRUE,800,FALSE,NA,FALSE,NA,TRUE,800,TRUE,800,FALSE,NA,FALSE,NA
1,selection,831.2296805941435,4037.508061389877,GROKKED,4500,4500,TRUE,1000,TRUE,1100,TRUE,1100,FALSE,NA,FALSE,NA,TRUE,1100,TRUE,1100,TRUE,1400,TRUE,1400,TRUE,1100,TRUE,1100,TRUE,1400,TRUE,1400
2,selection,625.1602228195258,2485.6596767184856,GROKKED,3000,3000,TRUE,800,TRUE,900,TRUE,900,TRUE,1100,TRUE,1100,TRUE,900,TRUE,900,TRUE,1100,TRUE,1100,TRUE,900,TRUE,900,TRUE,1100,TRUE,1100
3,selection,649.7546717484913,2409.675646642051,GROKKED,2900,2900,TRUE,800,TRUE,1000,TRUE,1000,TRUE,1000,TRUE,1000,TRUE,1000,TRUE,1000,TRUE,1000,TRUE,1000,TRUE,1000,TRUE,1000,TRUE,1000,TRUE,1000
4,selection,1193.8719415034473,6384.22032118347,NON_GROKKING,CENSORED,5000,TRUE,1400,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,1500,TRUE,1500,TRUE,1600,TRUE,1600,TRUE,1500,TRUE,1500,TRUE,1600,TRUE,1600
5,selection,816.2327691680745,4187.647393040296,GROKKED,4600,4600,TRUE,1000,TRUE,1100,TRUE,1100,FALSE,NA,FALSE,NA,TRUE,1100,TRUE,1100,TRUE,1400,TRUE,1400,TRUE,1100,TRUE,1100,TRUE,1400,TRUE,1400
6,selection,697.8402438855132,3996.190055108865,GROKKED,4500,4500,TRUE,900,TRUE,1000,TRUE,1000,FALSE,NA,FALSE,NA,TRUE,1000,TRUE,1000,TRUE,1500,TRUE,1500,TRUE,1000,TRUE,1000,TRUE,1500,TRUE,1500
7,selection,492.0047797380047,2700.9689775999727,GROKKED,3200,3200,TRUE,700,TRUE,800,TRUE,800,TRUE,1100,TRUE,1100,TRUE,800,TRUE,800,TRUE,1100,TRUE,1100,TRUE,800,TRUE,800,TRUE,1100,TRUE,1100
8,selection,755.3206116117768,4209.68401425989,GROKKED,4700,4700,TRUE,1000,TRUE,1100,TRUE,1100,TRUE,1200,TRUE,1200,TRUE,1100,TRUE,1100,TRUE,1200,TRUE,1200,TRUE,1100,TRUE,1100,TRUE,1200,TRUE,1200
9,selection,587.6527510700572,2275.115094204617,GROKKED,2700,2700,TRUE,800,TRUE,900,TRUE,900,TRUE,1000,TRUE,1000,TRUE,900,TRUE,900,TRUE,1000,TRUE,1000,TRUE,900,TRUE,900,TRUE,1000,TRUE,1000
10,selection,1011.1960828348309,7051.74686065191,NON_GROKKING,CENSORED,5000,TRUE,1200,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,1300,TRUE,1300,TRUE,1500,TRUE,1500,TRUE,1300,TRUE,1300,TRUE,1500,TRUE,1500
11,selection,612.74681450284,2440.08213405157,GROKKED,2900,2900,TRUE,800,TRUE,900,TRUE,900,TRUE,1100,TRUE,1100,TRUE,900,TRUE,900,TRUE,1100,TRUE,1100,TRUE,900,TRUE,900,TRUE,1100,TRUE,1100
12,selection,935.7235463926232,5135.588578453404,NON_GROKKING,CENSORED,5000,TRUE,1100,TRUE,1200,TRUE,1200,FALSE,NA,FALSE,NA,TRUE,1200,TRUE,1200,TRUE,1400,TRUE,1400,TRUE,1200,TRUE,1200,TRUE,1400,TRUE,1400
13,selection,403.57003890087526,886.4767543776165,GROKKED,1300,1300,TRUE,600,FALSE,NA,TRUE,700,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,700,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,700,FALSE,NA,FALSE,NA
14,selection,596.0924937084266,1715.664618391516,GROKKED,2100,2100,TRUE,800,TRUE,1000,TRUE,1000,TRUE,1100,TRUE,1100,TRUE,1000,TRUE,1000,TRUE,1100,TRUE,1100,TRUE,1000,TRUE,1000,TRUE,1100,TRUE,1100
15,selection,1233.0255894455354,11410.342838586785,NON_GROKKING,CENSORED,5000,TRUE,1400,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,1500,TRUE,1500,TRUE,1600,TRUE,1600,TRUE,1500,TRUE,1500,TRUE,1600,TRUE,1600
16,selection,443.25877825111576,1571.9409107544777,GROKKED,2000,2000,TRUE,700,TRUE,800,TRUE,800,TRUE,1000,TRUE,1000,TRUE,800,TRUE,800,TRUE,1000,TRUE,1000,TRUE,800,TRUE,800,TRUE,1000,TRUE,1000
17,selection,518.6639244128426,2684.2253485567526,GROKKED,3200,3200,TRUE,700,TRUE,800,TRUE,800,TRUE,1100,TRUE,1100,TRUE,800,TRUE,800,TRUE,1100,TRUE,1100,TRUE,800,TRUE,800,TRUE,1100,TRUE,1100
18,selection,894.8401711319132,5339.754368754491,NON_GROKKING,CENSORED,5000,TRUE,1100,TRUE,1200,TRUE,1200,FALSE,NA,FALSE,NA,TRUE,1200,TRUE,1200,TRUE,1400,TRUE,1400,TRUE,1200,TRUE,1200,TRUE,1400,TRUE,1400
19,selection,1099.2879808326006,8140.2874564806925,NON_GROKKING,CENSORED,5000,TRUE,1300,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,1400,TRUE,1400,TRUE,1600,TRUE,1600,TRUE,1400,TRUE,1400,TRUE,1600,TRUE,1600
20,selection,857.3214889840248,4620.865687633103,NON_GROKKING,CENSORED,5000,TRUE,1100,TRUE,1200,TRUE,1200,FALSE,NA,FALSE,NA,TRUE,1200,TRUE,1200,TRUE,1300,TRUE,1300,TRUE,1200,TRUE,1200,TRUE,1300,TRUE,1300
21,selection,730.7169609108757,1963.003168312328,GROKKED,2400,2400,TRUE,900,TRUE,1100,TRUE,1100,TRUE,1200,TRUE,1200,TRUE,1100,TRUE,1100,TRUE,1200,TRUE,1200,TRUE,1100,TRUE,1100,TRUE,1200,TRUE,1200
22,selection,387.2372091433054,1098.8620221795934,GROKKED,1500,1500,TRUE,600,TRUE,700,TRUE,700,FALSE,NA,FALSE,NA,TRUE,700,TRUE,700,FALSE,NA,FALSE,NA,TRUE,700,TRUE,700,FALSE,NA,FALSE,NA
23,selection,643.42262352433,3502.132424294245,GROKKED,4000,4000,TRUE,900,TRUE,1000,TRUE,1000,TRUE,1200,TRUE,1200,TRUE,1000,TRUE,1000,TRUE,1200,TRUE,1200,TRUE,1000,TRUE,1000,TRUE,1200,TRUE,1200
24,heldout,1017.4869692089039,6918.765013746239,NON_GROKKING,CENSORED,5000,TRUE,1200,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,1300,TRUE,1300,TRUE,1500,TRUE,1500,TRUE,1300,TRUE,1300,TRUE,1500,TRUE,1500
25,heldout,919.8109888479369,6469.458869738426,NON_GROKKING,CENSORED,5000,TRUE,1100,TRUE,1200,TRUE,1200,FALSE,NA,FALSE,NA,TRUE,1200,TRUE,1200,TRUE,1500,TRUE,1500,TRUE,1200,TRUE,1200,TRUE,1500,TRUE,1500
26,heldout,521.2403926738699,1689.2315178469548,GROKKED,2200,2200,TRUE,700,TRUE,800,TRUE,800,TRUE,1100,TRUE,1100,TRUE,800,TRUE,800,TRUE,1100,TRUE,1100,TRUE,800,TRUE,800,TRUE,1100,TRUE,1100
27,heldout,684.7521174437176,2099.526718020356,GROKKED,2600,2600,TRUE,900,TRUE,1000,TRUE,1000,TRUE,1200,TRUE,1200,TRUE,1000,TRUE,1000,TRUE,1200,TRUE,1200,TRUE,1000,TRUE,1000,TRUE,1200,TRUE,1200
28,heldout,417.3070827125999,1247.746172045567,GROKKED,1700,1700,TRUE,600,TRUE,700,TRUE,700,FALSE,NA,TRUE,1000,TRUE,700,TRUE,700,FALSE,NA,TRUE,1000,TRUE,700,TRUE,700,FALSE,NA,TRUE,1000
29,heldout,583.1295499702348,2244.602347921437,GROKKED,2700,2700,TRUE,800,TRUE,900,TRUE,900,TRUE,1100,TRUE,1100,TRUE,900,TRUE,900,TRUE,1100,TRUE,1100,TRUE,900,TRUE,900,TRUE,1100,TRUE,1100
30,heldout,795.4014198504393,4561.35216075527,NON_GROKKING,CENSORED,5000,TRUE,1000,TRUE,1100,TRUE,1100,TRUE,1200,TRUE,1200,TRUE,1100,TRUE,1100,TRUE,1200,TRUE,1200,TRUE,1100,TRUE,1100,TRUE,1200,TRUE,1200
31,heldout,718.5679157595008,3624.8070430452,GROKKED,4100,4100,TRUE,900,TRUE,1000,TRUE,1000,FALSE,NA,FALSE,NA,TRUE,1000,TRUE,1000,TRUE,1300,TRUE,1300,TRUE,1000,TRUE,1000,TRUE,1300,TRUE,1300
32,heldout,882.9307635143684,3647.1450130238973,GROKKED,4100,4100,TRUE,1100,TRUE,1200,TRUE,1200,FALSE,NA,FALSE,NA,TRUE,1200,TRUE,1200,TRUE,1500,TRUE,1500,TRUE,1200,TRUE,1200,TRUE,1500,TRUE,1500
33,heldout,486.8194937939051,1492.38931074954,GROKKED,2000,2000,TRUE,700,TRUE,800,TRUE,800,TRUE,1000,TRUE,1000,TRUE,800,TRUE,800,TRUE,1000,TRUE,1000,TRUE,800,TRUE,800,TRUE,1000,TRUE,1000
34,heldout,816.2303060944189,3349.100174183417,GROKKED,3800,3800,TRUE,1000,TRUE,1100,TRUE,1100,FALSE,NA,FALSE,NA,TRUE,1100,TRUE,1100,TRUE,1400,TRUE,1400,TRUE,1100,TRUE,1100,TRUE,1400,TRUE,1400
35,heldout,543.9513834713373,1913.6968442040936,GROKKED,2400,2400,TRUE,800,TRUE,900,TRUE,900,TRUE,1000,TRUE,1000,TRUE,900,TRUE,900,TRUE,1000,TRUE,1000,TRUE,900,TRUE,900,TRUE,1000,TRUE,1000
36,heldout,1073.7825782763985,15250.279137397029,NON_GROKKING,CENSORED,5000,TRUE,1300,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,1400,TRUE,1400,TRUE,1600,TRUE,1600,TRUE,1400,TRUE,1400,TRUE,1600,TRUE,1600
37,heldout,484.96481693837865,1745.0795825524328,GROKKED,2200,2200,TRUE,700,TRUE,800,TRUE,800,TRUE,900,TRUE,900,TRUE,800,TRUE,800,TRUE,900,TRUE,900,TRUE,800,TRUE,800,TRUE,900,TRUE,900
38,heldout,950.0750975930348,2951.0509098221955,GROKKED,3400,3400,TRUE,1200,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,1300,TRUE,1300,TRUE,1500,TRUE,1500,TRUE,1300,TRUE,1300,TRUE,1500,TRUE,1500
39,heldout,583.2645969416752,2999.6755867792676,GROKKED,3500,3500,TRUE,800,TRUE,900,TRUE,900,TRUE,1100,TRUE,1100,TRUE,900,TRUE,900,TRUE,1100,TRUE,1100,TRUE,900,TRUE,900,TRUE,1100,TRUE,1100
40,heldout,868.409392576152,3432.4159440349504,GROKKED,3900,3900,TRUE,1100,TRUE,1200,TRUE,1200,FALSE,NA,FALSE,NA,TRUE,1200,TRUE,1200,TRUE,1400,TRUE,1400,TRUE,1200,TRUE,1200,TRUE,1400,TRUE,1400
41,heldout,665.4627977042144,2096.0591513803693,GROKKED,2600,2600,TRUE,900,TRUE,1000,TRUE,1000,FALSE,NA,FALSE,NA,TRUE,1000,TRUE,1000,TRUE,1300,TRUE,1300,TRUE,1000,TRUE,1000,TRUE,1300,TRUE,1300
42,heldout,863.3510557694941,3285.03725704885,GROKKED,3800,3800,TRUE,1100,TRUE,1200,TRUE,1200,FALSE,NA,FALSE,NA,TRUE,1200,TRUE,1200,TRUE,1300,TRUE,1300,TRUE,1200,TRUE,1200,TRUE,1300,TRUE,1300
43,heldout,1308.5108094694895,6513.121182501223,NON_GROKKING,CENSORED,5000,TRUE,1500,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,1600,TRUE,1600,FALSE,NA,FALSE,NA,TRUE,1600,TRUE,1600,TRUE,1900,TRUE,1900
44,heldout,692.038467788015,2127.3274798321836,GROKKED,2600,2600,TRUE,900,TRUE,1000,TRUE,1000,TRUE,1200,TRUE,1200,TRUE,1000,TRUE,1000,TRUE,1200,TRUE,1200,TRUE,1000,TRUE,1000,TRUE,1200,TRUE,1200
45,heldout,545.8707735771509,1921.5783195565516,GROKKED,2400,2400,TRUE,800,TRUE,900,TRUE,900,TRUE,1000,TRUE,1000,TRUE,900,TRUE,900,TRUE,1000,TRUE,1000,TRUE,900,TRUE,900,TRUE,1000,TRUE,1000
46,heldout,557.3859402858748,1826.2059798014186,GROKKED,2300,2300,TRUE,800,TRUE,900,TRUE,900,TRUE,1000,TRUE,1000,TRUE,900,TRUE,900,TRUE,1000,TRUE,1000,TRUE,900,TRUE,900,TRUE,1000,TRUE,1000
