dataset_id,expected_maximum_ids,observed_maximum_ids,maximum_score,exactly_four_maxima,maximum_equals_0_75,maximum_set_matches,all_others_equal_0_70,passed,score_C00,score_C01,score_C02,score_C03,score_C04,score_C05,score_C06,score_C07,score_C08,score_C09,score_C10,score_C11
0,0|1|6|7,0|1|6|7,0.75,True,True,True,True,True,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7
1,1|2|7|8,1|2|7|8,0.75,True,True,True,True,True,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7
2,2|3|8|9,2|3|8|9,0.75,True,True,True,True,True,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7
3,3|4|9|10,3|4|9|10,0.75,True,True,True,True,True,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7
4,4|5|10|11,4|5|10|11,0.75,True,True,True,True,True,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75
5,0|5|6|11,0|5|6|11,0.75,True,True,True,True,True,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75
6,0|1|6|7,0|1|6|7,0.75,True,True,True,True,True,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7
7,1|2|7|8,1|2|7|8,0.75,True,True,True,True,True,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7
8,2|3|8|9,2|3|8|9,0.75,True,True,True,True,True,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7
9,3|4|9|10,3|4|9|10,0.75,True,True,True,True,True,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7
10,4|5|10|11,4|5|10|11,0.75,True,True,True,True,True,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75
11,0|5|6|11,0|5|6|11,0.75,True,True,True,True,True,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75
12,0|1|6|7,0|1|6|7,0.75,True,True,True,True,True,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7
13,1|2|7|8,1|2|7|8,0.75,True,True,True,True,True,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7
14,2|3|8|9,2|3|8|9,0.75,True,True,True,True,True,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7
15,3|4|9|10,3|4|9|10,0.75,True,True,True,True,True,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7
16,4|5|10|11,4|5|10|11,0.75,True,True,True,True,True,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75
17,0|5|6|11,0|5|6|11,0.75,True,True,True,True,True,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75
18,0|1|6|7,0|1|6|7,0.75,True,True,True,True,True,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7
19,1|2|7|8,1|2|7|8,0.75,True,True,True,True,True,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7
20,2|3|8|9,2|3|8|9,0.75,True,True,True,True,True,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7
21,3|4|9|10,3|4|9|10,0.75,True,True,True,True,True,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7
22,4|5|10|11,4|5|10|11,0.75,True,True,True,True,True,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75
23,0|5|6|11,0|5|6|11,0.75,True,True,True,True,True,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75
24,0|1|6|7,0|1|6|7,0.75,True,True,True,True,True,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7
25,1|2|7|8,1|2|7|8,0.75,True,True,True,True,True,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7
26,2|3|8|9,2|3|8|9,0.75,True,True,True,True,True,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7
27,3|4|9|10,3|4|9|10,0.75,True,True,True,True,True,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7
28,4|5|10|11,4|5|10|11,0.75,True,True,True,True,True,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75
29,0|5|6|11,0|5|6|11,0.75,True,True,True,True,True,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75
30,0|1|6|7,0|1|6|7,0.75,True,True,True,True,True,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7
31,1|2|7|8,1|2|7|8,0.75,True,True,True,True,True,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7
32,2|3|8|9,2|3|8|9,0.75,True,True,True,True,True,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7
