graph_index,candidate_type,alteration,artifact_records_equal_baseline,inventory_root_equal_baseline,relationship_root_changed,reexecution_all_units,changed_edge_field_count,changed_edge_unit_count,no_operation_changes,mutation_shape_valid,all_altered_invariants,common_validation,recomputed_inventory_root,recomputed_relationship_root,trusted_inventory_root,trusted_relationship_root,declared_relationship_root,auth_inventory_accept,auth_relationship_accept,unauth_relationship_accept
0,control,none,True,True,False,True,0,0,True,True,True,True,95fd2e56b9f8cca13cfe48ece98589db8aeca65fde3347f3d69a78de3d8fdb62,e66e917344bde92554daf35900083217fd926734cac1a0ccaadcafe7c33b50d0,95fd2e56b9f8cca13cfe48ece98589db8aeca65fde3347f3d69a78de3d8fdb62,e66e917344bde92554daf35900083217fd926734cac1a0ccaadcafe7c33b50d0,e66e917344bde92554daf35900083217fd926734cac1a0ccaadcafe7c33b50d0,True,True,True
0,altered,A_swap_units_0_1,True,True,True,True,4,2,True,True,True,True,95fd2e56b9f8cca13cfe48ece98589db8aeca65fde3347f3d69a78de3d8fdb62,b8b55dd3b3533a50aa44f47cb1e8018a28c384bed540c17db616012b2df649d2,95fd2e56b9f8cca13cfe48ece98589db8aeca65fde3347f3d69a78de3d8fdb62,e66e917344bde92554daf35900083217fd926734cac1a0ccaadcafe7c33b50d0,b8b55dd3b3533a50aa44f47cb1e8018a28c384bed540c17db616012b2df649d2,True,False,True
0,altered,B_swap_units_8_9,True,True,True,True,4,2,True,True,True,True,95fd2e56b9f8cca13cfe48ece98589db8aeca65fde3347f3d69a78de3d8fdb62,e8c3fd56999b033681522b13eb6f870840a6e83912b405a2608c00f7d9d8d62f,95fd2e56b9f8cca13cfe48ece98589db8aeca65fde3347f3d69a78de3d8fdb62,e66e917344bde92554daf35900083217fd926734cac1a0ccaadcafe7c33b50d0,e8c3fd56999b033681522b13eb6f870840a6e83912b405a2608c00f7d9d8d62f,True,False,True
1,control,none,True,True,False,True,0,0,True,True,True,True,8a2d9c08c851e76a66f26a94f2804622461ef07c7dd3319c5899838e00099738,50b23c3142d8c3ba40f772ae8ddab31668ab6b688a3f1eccda0743f6f614a7c6,8a2d9c08c851e76a66f26a94f2804622461ef07c7dd3319c5899838e00099738,50b23c3142d8c3ba40f772ae8ddab31668ab6b688a3f1eccda0743f6f614a7c6,50b23c3142d8c3ba40f772ae8ddab31668ab6b688a3f1eccda0743f6f614a7c6,True,True,True
1,altered,A_swap_units_0_1,True,True,True,True,4,2,True,True,True,True,8a2d9c08c851e76a66f26a94f2804622461ef07c7dd3319c5899838e00099738,aea9293f31d1701b4a0416b13f8d706c1fdf687554523b6bd99613c68f6cbb03,8a2d9c08c851e76a66f26a94f2804622461ef07c7dd3319c5899838e00099738,50b23c3142d8c3ba40f772ae8ddab31668ab6b688a3f1eccda0743f6f614a7c6,aea9293f31d1701b4a0416b13f8d706c1fdf687554523b6bd99613c68f6cbb03,True,False,True
1,altered,B_swap_units_8_9,True,True,True,True,4,2,True,True,True,True,8a2d9c08c851e76a66f26a94f2804622461ef07c7dd3319c5899838e00099738,61be4c8b5033a96b4b517ddb969b90ca148ce068e2e2f049574f034da31b62a2,8a2d9c08c851e76a66f26a94f2804622461ef07c7dd3319c5899838e00099738,50b23c3142d8c3ba40f772ae8ddab31668ab6b688a3f1eccda0743f6f614a7c6,61be4c8b5033a96b4b517ddb969b90ca148ce068e2e2f049574f034da31b62a2,True,False,True
2,control,none,True,True,False,True,0,0,True,True,True,True,02f3ee55c618d5891d83365f38249e94d6fd895c16915a31a522b78e57a5783e,91ee7973fc2afdb4829dc8b9108bf77dafc5ce230e20140a1636e81ab8a6439b,02f3ee55c618d5891d83365f38249e94d6fd895c16915a31a522b78e57a5783e,91ee7973fc2afdb4829dc8b9108bf77dafc5ce230e20140a1636e81ab8a6439b,91ee7973fc2afdb4829dc8b9108bf77dafc5ce230e20140a1636e81ab8a6439b,True,True,True
2,altered,A_swap_units_0_1,True,True,True,True,4,2,True,True,True,True,02f3ee55c618d5891d83365f38249e94d6fd895c16915a31a522b78e57a5783e,72c681d584fd38d7dba101468bbd6d8b8b6c06d4cbe3d24e1ad8b4d419f08588,02f3ee55c618d5891d83365f38249e94d6fd895c16915a31a522b78e57a5783e,91ee7973fc2afdb4829dc8b9108bf77dafc5ce230e20140a1636e81ab8a6439b,72c681d584fd38d7dba101468bbd6d8b8b6c06d4cbe3d24e1ad8b4d419f08588,True,False,True
2,altered,B_swap_units_8_9,True,True,True,True,4,2,True,True,True,True,02f3ee55c618d5891d83365f38249e94d6fd895c16915a31a522b78e57a5783e,da28a7b18816217d3b6745df59de271e2406f42e04bad4479092382520584817,02f3ee55c618d5891d83365f38249e94d6fd895c16915a31a522b78e57a5783e,91ee7973fc2afdb4829dc8b9108bf77dafc5ce230e20140a1636e81ab8a6439b,da28a7b18816217d3b6745df59de271e2406f42e04bad4479092382520584817,True,False,True
3,control,none,True,True,False,True,0,0,True,True,True,True,52169ca93d242f5bbb7d7ff2ef9e528e97665c526100642138d7c4874a1ca933,705ce7bb3118f8f8963c15e4b79d081e2dfcde5dd28a1239a90e678b7378939a,52169ca93d242f5bbb7d7ff2ef9e528e97665c526100642138d7c4874a1ca933,705ce7bb3118f8f8963c15e4b79d081e2dfcde5dd28a1239a90e678b7378939a,705ce7bb3118f8f8963c15e4b79d081e2dfcde5dd28a1239a90e678b7378939a,True,True,True
3,altered,A_swap_units_0_1,True,True,True,True,4,2,True,True,True,True,52169ca93d242f5bbb7d7ff2ef9e528e97665c526100642138d7c4874a1ca933,014059f70f931632ab8162ab4bef6f1793212d95812d9c06c285d706cff5c67e,52169ca93d242f5bbb7d7ff2ef9e528e97665c526100642138d7c4874a1ca933,705ce7bb3118f8f8963c15e4b79d081e2dfcde5dd28a1239a90e678b7378939a,014059f70f931632ab8162ab4bef6f1793212d95812d9c06c285d706cff5c67e,True,False,True
3,altered,B_swap_units_8_9,True,True,True,True,4,2,True,True,True,True,52169ca93d242f5bbb7d7ff2ef9e528e97665c526100642138d7c4874a1ca933,d10c3900318a909b612a709dad077b18e18405d13c75772c415d980aa9c8e773,52169ca93d242f5bbb7d7ff2ef9e528e97665c526100642138d7c4874a1ca933,705ce7bb3118f8f8963c15e4b79d081e2dfcde5dd28a1239a90e678b7378939a,d10c3900318a909b612a709dad077b18e18405d13c75772c415d980aa9c8e773,True,False,True
4,control,none,True,True,False,True,0,0,True,True,True,True,81d2b36b057117267ad379f9a71eb72817d9c6ccacee539b8c36d39c80c242b1,7a2130cb0735dccb1810ef71d6972f23df14ee2f7524a9a38488d3ac0f5473db,81d2b36b057117267ad379f9a71eb72817d9c6ccacee539b8c36d39c80c242b1,7a2130cb0735dccb1810ef71d6972f23df14ee2f7524a9a38488d3ac0f5473db,7a2130cb0735dccb1810ef71d6972f23df14ee2f7524a9a38488d3ac0f5473db,True,True,True
4,altered,A_swap_units_0_1,True,True,True,True,4,2,True,True,True,True,81d2b36b057117267ad379f9a71eb72817d9c6ccacee539b8c36d39c80c242b1,71ef790a148c5300c3bf86ab03950f58b53016a32a9044df389e1bbde3cf857f,81d2b36b057117267ad379f9a71eb72817d9c6ccacee539b8c36d39c80c242b1,7a2130cb0735dccb1810ef71d6972f23df14ee2f7524a9a38488d3ac0f5473db,71ef790a148c5300c3bf86ab03950f58b53016a32a9044df389e1bbde3cf857f,True,False,True
4,altered,B_swap_units_8_9,True,True,True,True,4,2,True,True,True,True,81d2b36b057117267ad379f9a71eb72817d9c6ccacee539b8c36d39c80c242b1,5a7741d9cd541cec296cc392547c442d695615d08872c25c85cc932d83658252,81d2b36b057117267ad379f9a71eb72817d9c6ccacee539b8c36d39c80c242b1,7a2130cb0735dccb1810ef71d6972f23df14ee2f7524a9a38488d3ac0f5473db,5a7741d9cd541cec296cc392547c442d695615d08872c25c85cc932d83658252,True,False,True
5,control,none,True,True,False,True,0,0,True,True,True,True,4fe7ef17e7987a68cc23451fdc6abcdf646d4f8ac936acbe6fd146fc0b302cb8,6cb307e8d83fdd6c4f626a54d48d1eccf5faa7c70c9d9b5ede2cbfeb179a11ce,4fe7ef17e7987a68cc23451fdc6abcdf646d4f8ac936acbe6fd146fc0b302cb8,6cb307e8d83fdd6c4f626a54d48d1eccf5faa7c70c9d9b5ede2cbfeb179a11ce,6cb307e8d83fdd6c4f626a54d48d1eccf5faa7c70c9d9b5ede2cbfeb179a11ce,True,True,True
5,altered,A_swap_units_0_1,True,True,True,True,4,2,True,True,True,True,4fe7ef17e7987a68cc23451fdc6abcdf646d4f8ac936acbe6fd146fc0b302cb8,78e6b48293406067eab31d75c26fff1843893254c706dab3d0dd328bcb3db928,4fe7ef17e7987a68cc23451fdc6abcdf646d4f8ac936acbe6fd146fc0b302cb8,6cb307e8d83fdd6c4f626a54d48d1eccf5faa7c70c9d9b5ede2cbfeb179a11ce,78e6b48293406067eab31d75c26fff1843893254c706dab3d0dd328bcb3db928,True,False,True
5,altered,B_swap_units_8_9,True,True,True,True,4,2,True,True,True,True,4fe7ef17e7987a68cc23451fdc6abcdf646d4f8ac936acbe6fd146fc0b302cb8,cb328355c6a07bd236ecfccbe4645bc39d4d2f54932198e8855b203af52326a1,4fe7ef17e7987a68cc23451fdc6abcdf646d4f8ac936acbe6fd146fc0b302cb8,6cb307e8d83fdd6c4f626a54d48d1eccf5faa7c70c9d9b5ede2cbfeb179a11ce,cb328355c6a07bd236ecfccbe4645bc39d4d2f54932198e8855b203af52326a1,True,False,True
