replicate,algorithm,evaluations,best_fitness,solved_blocks,optimum_reached,eligible_at_100000
0,serial,100000,95,15,False,True
0,serial,250000,95,15,False,True
0,serial,500000,95,15,False,True
0,batch16,100000,95,15,False,True
0,batch16,250000,95,15,False,True
0,batch16,500000,95,15,False,True
1,serial,100000,91,11,False,True
1,serial,250000,91,11,False,True
1,serial,500000,91,11,False,True
1,batch16,100000,91,11,False,True
1,batch16,250000,91,11,False,True
1,batch16,500000,91,11,False,True
2,serial,100000,95,15,False,True
2,serial,250000,95,15,False,True
2,serial,500000,95,15,False,True
2,batch16,100000,94,14,False,True
2,batch16,250000,94,14,False,True
2,batch16,500000,94,14,False,True
3,serial,100000,94,14,False,True
3,serial,250000,94,14,False,True
3,serial,500000,94,14,False,True
3,batch16,100000,90,10,False,True
3,batch16,250000,90,10,False,True
3,batch16,500000,90,10,False,True
4,serial,100000,94,14,False,True
4,serial,250000,94,14,False,True
4,serial,500000,94,14,False,True
4,batch16,100000,89,9,False,True
4,batch16,250000,89,9,False,True
4,batch16,500000,89,9,False,True
5,serial,100000,91,11,False,True
5,serial,250000,91,11,False,True
5,serial,500000,91,11,False,True
5,batch16,100000,92,12,False,True
5,batch16,250000,92,12,False,True
5,batch16,500000,92,12,False,True
6,serial,100000,93,13,False,True
6,serial,250000,93,13,False,True
6,serial,500000,93,13,False,True
6,batch16,100000,94,14,False,True
6,batch16,250000,94,14,False,True
6,batch16,500000,94,14,False,True
7,serial,100000,90,10,False,True
7,serial,250000,90,10,False,True
7,serial,500000,90,10,False,True
7,batch16,100000,88,8,False,True
7,batch16,250000,88,8,False,True
7,batch16,500000,88,8,False,True
8,serial,100000,91,11,False,True
8,serial,250000,91,11,False,True
8,serial,500000,91,11,False,True
8,batch16,100000,90,10,False,True
8,batch16,250000,90,10,False,True
8,batch16,500000,90,10,False,True
9,serial,100000,90,10,False,True
9,serial,250000,90,10,False,True
9,serial,500000,90,10,False,True
9,batch16,100000,92,12,False,True
9,batch16,250000,92,12,False,True
9,batch16,500000,92,12,False,True
10,serial,100000,88,8,False,True
10,serial,250000,88,8,False,True
10,serial,500000,88,8,False,True
10,batch16,100000,88,8,False,True
10,batch16,250000,88,8,False,True
10,batch16,500000,88,8,False,True
11,serial,100000,94,14,False,True
11,serial,250000,94,14,False,True
11,serial,500000,94,14,False,True
11,batch16,100000,94,14,False,True
11,batch16,250000,94,14,False,True
11,batch16,500000,94,14,False,True
12,serial,100000,92,12,False,True
12,serial,250000,92,12,False,True
12,serial,500000,92,12,False,True
12,batch16,100000,92,12,False,True
12,batch16,250000,92,12,False,True
12,batch16,500000,92,12,False,True
13,serial,100000,91,11,False,True
13,serial,250000,91,11,False,True
13,serial,500000,91,11,False,True
13,batch16,100000,93,13,False,True
13,batch16,250000,93,13,False,True
